Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
302000,1.2834328,-0.7091375,None,None,None,None,None,None,1.0
303000,1.2866434,-0.5989995,0.0038352343,0.23426767,0.00029093557,None,None,None,1.0
304000,1.2812264,-0.5576279,0.0013216924,0.24547309,0.0002908953,None,None,None,1.0
305000,1.2775,-0.49891788,0.0018558556,0.23682496,0.00029085495,None,None,None,1.0
306000,None,-0.42637348,None,None,None,None,None,None,1.0
307000,1.2754488,-0.37972343,0.0006371856,0.22847097,0.00029081458,None,None,None,1.0
308000,1.2709665,-0.34686878,0.000982971,0.26739895,0.00029077427,None,None,None,1.0
309000,None,-0.30092287,0.00027332993,0.24546903,0.00029073397,None,None,None,1.0
310000,1.2668628,-0.2665511,None,None,None,None,None,None,1.0
311000,1.2657297,-0.23968121,0.0006382116,0.1811376,0.00029069558,None,None,None,1.0
312000,1.2665865,-0.22033092,0.00015523274,0.24927911,0.00029065527,None,None,None,1.0
313000,1.2645668,-0.19726151,0.00022814042,0.22080001,0.0002906149,499.0,-23.960697174072266,-23.960697174072266,1.0
314000,None,-0.18108101,72.48728,0.23677586,0.0002905818,499.0,-20.836897134780884,-20.836897134780884,1.0
